,Distance (scaled),Elevation (scaled),Wind (scaled),Is snowing,Result
3606,33,840,0.0,0,1
3607,33,840,0.0,0,1
3608,19,840,0.0,0,1
3609,33,840,0.0,0,1
3610,33,840,0.0,0,1
3611,33,840,0.0,0,1
3612,33,840,0.0,0,1
3613,33,748,7.0,0,1
3614,33,748,7.0,0,1
3615,56,748,7.0,0,1
3616,51,748,7.0,0,0
3617,37,748,7.0,0,1
3618,33,710,0.0,0,1
3619,33,710,0.0,0,1
3620,50,710,0.0,0,0
3621,33,710,0.0,0,1
3622,33,710,0.0,0,1
3623,33,710,0.0,0,1
3624,33,710,0.0,0,1
3625,37,710,0.0,0,1
3626,32,710,0.0,0,1
3627,43,710,0.0,0,1
3628,26,710,0.0,0,1
3629,39,710,0.0,0,1
3630,33,2001,0.0,0,1
3631,33,2001,0.0,0,1
3632,33,2001,0.0,0,1
3633,33,2001,0.0,0,1
3634,34,2001,0.0,0,1
3635,33,2001,0.0,0,1
3636,33,2001,0.0,0,1
3637,33,2001,0.0,0,1
3638,33,2001,0.0,0,1
3639,33,2001,0.0,0,1
3640,33,26,5.0,0,1
3641,33,26,5.0,0,1
3642,33,26,5.0,0,1
3643,33,26,5.0,0,1
3644,38,26,5.0,0,1
3645,38,26,5.0,0,1
3646,44,26,5.0,0,0
3647,33,26,5.0,0,1
3648,33,26,5.0,0,1
3649,40,26,5.0,0,1
3650,33,5280,7.0,0,1
3651,33,5280,7.0,0,1
3652,29,5280,7.0,0,1
3653,41,5280,7.0,0,1
3654,47,5280,7.0,0,1
3655,33,5280,7.0,0,1
3656,53,5280,7.0,0,1
3657,33,50,0.0,0,1
3658,33,50,0.0,0,1
3659,44,50,0.0,0,1
3660,33,50,0.0,0,1
3661,33,50,0.0,0,1
3662,33,50,0.0,0,1
3663,36,50,0.0,0,1
3664,36,50,0.0,0,1
3665,46,50,0.0,0,1
3666,33,62,0.0,0,0
3667,33,62,0.0,0,1
3668,33,62,0.0,0,1
3669,33,62,0.0,0,1
3670,44,62,0.0,0,1
3671,33,62,0.0,0,1
3672,33,62,0.0,0,1
3673,33,62,0.0,0,0
3674,23,62,0.0,0,1
3675,33,62,0.0,0,1
3676,33,584,8.0,0,1
3677,33,584,8.0,0,1
3678,46,584,8.0,0,1
3679,43,584,8.0,0,1
3680,33,584,8.0,0,1
3681,28,584,8.0,0,1
3682,33,584,8.0,0,1
3683,41,7,3.0,0,1
3684,45,7,3.0,0,0
3685,44,7,3.0,0,1
3686,33,7,3.0,0,1
3687,33,7,3.0,0,1
3688,47,7,3.0,0,1
3689,33,7,3.0,0,1
3690,33,25,6.0,0,1
3691,30,25,6.0,0,1
3692,27,25,6.0,0,1
3693,40,25,6.0,0,1
3694,33,25,6.0,0,1
3695,40,25,6.0,0,1
3696,22,25,6.0,0,1
3697,28,25,6.0,0,1
3698,38,289,8.0,0,1
3699,47,289,8.0,0,1
3700,33,289,8.0,0,1
3701,22,289,8.0,0,1
3702,33,289,8.0,0,1
3703,33,289,8.0,0,1
3704,45,289,8.0,0,0
3705,50,289,8.0,0,1
3706,33,750,14.0,0,0
3707,33,750,14.0,0,1
3708,25,750,14.0,0,1
3709,27,750,14.0,0,1
3710,33,750,14.0,0,1
3711,33,750,14.0,0,1
3712,33,840,0.0,0,1
3713,33,840,0.0,0,1
3714,52,840,0.0,0,1
3715,33,840,0.0,0,1
3716,33,840,0.0,0,1
3717,24,840,0.0,0,1
3718,40,840,0.0,0,1
3719,21,840,0.0,0,1
3720,28,840,0.0,0,1
3721,54,840,0.0,0,0
3722,33,640,13.0,0,0
3723,27,640,13.0,0,1
3724,33,640,13.0,0,1
3725,33,640,13.0,0,1
3726,33,640,13.0,0,1
3727,33,640,13.0,0,1
3728,33,640,13.0,0,1
3729,33,640,13.0,0,1
3730,33,640,13.0,0,1
3731,54,7,1.0,0,1
3732,33,7,1.0,0,1
3733,24,7,1.0,0,1
3734,24,7,1.0,0,1
3735,33,7,1.0,0,1
3736,33,7,1.0,0,1
3737,54,7,1.0,0,0
3738,44,7,1.0,0,1
3739,33,7,1.0,0,1
3740,33,646,0.0,0,1
3741,38,646,0.0,0,0
3742,33,646,0.0,0,1
3743,33,646,0.0,0,1
3744,33,646,0.0,0,1
3745,41,646,0.0,0,1
3746,29,646,0.0,0,1
3747,26,646,0.0,0,1
3748,33,646,0.0,0,1
3749,19,26,5.0,0,1
3750,33,26,5.0,0,1
3751,33,26,5.0,0,1
3752,33,26,5.0,0,1
3753,29,26,5.0,0,1
3754,26,26,5.0,0,1
3755,33,26,5.0,0,1
3756,33,26,5.0,0,1
3757,33,26,5.0,0,1
3758,33,597,7.0,0,1
3759,33,597,7.0,0,0
3760,33,597,7.0,0,1
3761,44,597,7.0,0,1
